epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,742.498,0.44963,2.31809,1.08787,0.77745,0.79008,0.84729,0.79141,0.3332,0.80287,0.85863,0.00333303,0.00333303,0.00333303
2,1454.41,0.42924,1.28279,1.05032,0.89812,0.87804,0.93896,0.90012,0.28843,0.50059,0.81146,0.00653437,0.00653437,0.00653437
3,2103.87,0.44682,1.08744,1.05061,0.89544,0.94129,0.96455,0.9129,0.31933,0.43399,0.83973,0.00960371,0.00960371,0.00960371
4,2883.92,0.43655,0.9176,1.04754,0.94518,0.95801,0.98238,0.95096,0.26584,0.33663,0.78783,0.009406,0.009406,0.009406
5,3537.66,0.40254,0.75256,1.03261,0.96631,0.96513,0.98734,0.96299,0.25079,0.28319,0.76796,0.009208,0.009208,0.009208
6,4277.57,0.38778,0.67796,1.02715,0.97384,0.97401,0.98932,0.96274,0.24595,0.25574,0.76672,0.00901,0.00901,0.00901
7,4934.03,0.37572,0.62808,1.0222,0.97961,0.97514,0.99087,0.9686,0.24006,0.24373,0.76065,0.008812,0.008812,0.008812
8,5700.55,0.36568,0.59515,1.01714,0.97888,0.97914,0.99155,0.97161,0.24376,0.23613,0.76019,0.008614,0.008614,0.008614
9,6379.69,0.3561,0.56311,1.01278,0.97858,0.98392,0.99222,0.97458,0.23289,0.21382,0.75043,0.008416,0.008416,0.008416
10,7059.19,0.35186,0.54348,1.01151,0.98132,0.98571,0.99203,0.97682,0.22671,0.21432,0.7443,0.008218,0.008218,0.008218
11,7908.08,0.34956,0.53205,1.01016,0.98576,0.9839,0.99198,0.9773,0.22673,0.21172,0.74662,0.00802,0.00802,0.00802
12,8562.85,0.34544,0.51131,1.0084,0.98347,0.98655,0.99239,0.97804,0.22742,0.21303,0.7445,0.007822,0.007822,0.007822
13,9225.17,0.34045,0.49503,1.00705,0.98529,0.98831,0.99287,0.97991,0.2189,0.2013,0.73757,0.007624,0.007624,0.007624
14,9881.22,0.33881,0.48422,1.00674,0.98794,0.98636,0.99293,0.98132,0.21646,0.19743,0.73604,0.007426,0.007426,0.007426
15,10540.1,0.33495,0.47783,1.00366,0.98779,0.98827,0.99309,0.98208,0.21411,0.1882,0.73239,0.007228,0.007228,0.007228
